studyid,arm,treatment,classcode,class,n,mean_change,sd_change,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any
003-008 (FDA),1,1,1,Placebo,28,-9.6,7.7,CFB,US,6,39,65,HAMD,25.77,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0
003-008 (FDA),2,6,6,Mirtazapine,30,-7.6,7.7,CFB,US,6,39,65,HAMD,25.77,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0
003-008 (FDA),3,6,6,Mirtazapine,28,-7.3,7.7,CFB,US,6,39,65,HAMD,25.77,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0
29060 07 001,1,1,1,Placebo,11,-10.91,9.38604815670578,CFB,US,6,43.2,58,HAMD,29.73,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
29060 07 001,2,43,27,SSRIs,12,-13.08,10.2190997646564,CFB,US,6,43.2,58,HAMD,29.73,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
29060 07 001,3,45,28,TCAs,13,-13.31,11.1050979284291,CFB,US,6,43.2,58,HAMD,29.73,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
29060/299,1,43,27,SSRIs,102,-14.3,9.35,CFB,Europe,8,40.4,NA,HAMD,27.84,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
29060/299,2,45,28,TCAs,100,-14.39,8.39,CFB,Europe,8,40.4,NA,HAMD,27.84,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Aguglia 1993,1,42,27,SSRIs,40,-15.899999999999999,8.326463835266445,BF,Italy,8,58.2,75,MADRS,33.17,7.84,High risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,2,1,0,1,2,1
Aguglia 1993,2,44,27,SSRIs,48,-17.299999999999997,9.328987083279728,BF,Italy,8,58.2,75,MADRS,33.17,7.84,High risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,2,1,0,1,2,1
Ai 2018,1,43,27,SSRIs,50,-18.57,5.3301125691677465,BF,China,6,20.2,55,HAMD,31.81,5.31,Low risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,0,1,2,0,0,1
Ai 2018,2,97,49,Acupuncture + AD,50,-21.71,4.709278076308512,BF,China,6,20.2,55,HAMD,31.81,5.31,Low risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,0,1,2,0,0,1
Akhondzadeh 2003,1,42,27,SSRIs,17,-16.82,11.08,CFB,Iran,6,35.8,40,NR,NA,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,1,1,0,1,1,0
Akhondzadeh 2003,2,50,28,TCAs,20,-20.3,8.12,CFB,Iran,6,35.8,40,NR,NA,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,1,1,0,1,1,0
Albornoz 2011,1,3,3,No treatment,12,-3.84,7.161340656608929,BF,Venezuela,12,NA,0,HAMD,19.580000000000002,6.23,Unclear risk,Low risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,0,2,1,0,1
Albornoz 2011,2,30,19,Music therapy group,12,-7.83,4.617889128162346,BF,Venezuela,12,NA,0,HAMD,19.580000000000002,6.23,Unclear risk,Low risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,0,2,1,0,1
Alexopoulos 2003b,1,15,11,Problem solving individual,12,-16.81,5.418662196520466,BF,US,12,74.1,52,HAMD,24.65,4.58,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,1,1,2,1,0,1
Alexopoulos 2003b,2,17,13,Counselling individual,13,-11.430000000000001,5.93854359249808,BF,US,12,74.1,52,HAMD,24.65,4.58,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,1,1,2,1,0,1
Allard 2004,1,40,27,SSRIs,75,-17.4,7.209022125087426,BF,Sweden & Denmark,22,73,80,MADRS,27.3,3.6,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Allard 2004,2,52,29,SNRIs,73,-18,6.85054742338158,BF,Sweden & Denmark,22,73,80,MADRS,27.3,3.6,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Allen 2006,1,4,4,Waitlist,52,-7.443281745017741,4.2,BIN,US,8,41.2,69,HAMD,22.31,4.66,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,High risk,0,1,2,0,0,1
Allen 2006,2,56,31,Sham acupuncture,52,-9.279487685584922,5,BIN,US,8,41.2,69,HAMD,22.31,4.66,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,High risk,0,1,2,0,0,1
Allen 2006,3,59,32,Acupuncture,53,-7.138184728718421,4.8,BIN,US,8,41.2,69,HAMD,22.31,4.66,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,High risk,0,1,2,0,0,1
Alves 1999,1,42,27,SSRIs,47,-14.395156621793028,3.9,BIN,Portugal,12,43.7,92,HAMD,27.34,4.54,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Alves 1999,2,52,29,SNRIs,40,-15.953666425319351,5.2,BIN,Portugal,12,43.7,92,HAMD,27.34,4.54,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Amsterdam 1986,1,1,1,Placebo,54,-5.699999999999999,7.463718912177763,BF,US,4,41,33,HAMD,23.96,4.57,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Amsterdam 1986,2,45,28,TCAs,55,-12.4,7.439764781227965,BF,US,4,41,33,HAMD,23.96,4.57,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Andreescu 2011,1,55,31,Sham acupuncture,22,-7.9,7.4,CFB,US,6,47.5,68,HAMD,18.12,3.46,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,High risk,1,1,1,0,0,0
Andreescu 2011,2,57,32,Acupuncture,23,-7.4,6.2,CFB,US,6,47.5,68,HAMD,18.12,3.46,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,High risk,1,1,1,0,0,0
